序号,书名,评分,评价人数,作者,出版社
43,目标,8.7,1251,作者/译者： 艾利·高德拉特 / 杰夫·科克斯 / 齐若兰 ,出版信息：  电子工业出版社 / 2006.1 / 48.0
44,幸福超越完美,8.7,306,作者/译者： 泰勒?本-沙哈尔博士 / 倪子君 ,出版信息：  机械工业出版社 / 2011-4 / 39.00元
45,创新算法,8.7,81,作者/译者： 根里奇·斯拉维奇·阿奇舒勒 / 谭增波 / 茹海燕 ,出版信息：  华中科技大学出版社 / 2008-10 / 32.80元
46,强势,8.7,49,作者/译者： （美）曼纽尔 ? J ? 史密斯 / 欧阳瑾 / 陈 兰 ,出版信息：  江苏文艺出版社 / 2014-8 / 42.00元
47,自我导向行为,8.7,239,作者/译者： 戴维·L.华生 (David L.Watson) / 罗兰德·G.夏普 (Roland G.Tharp) / 陈侠 / 钟小族 / 陈丽 ,出版信息：  中国人民大学出版社 / 2009-7 / 48.00元
48,如何閱讀一本書,8.7,165,作者/译者： 莫提默．艾德勒（Mortimer J. Adler） / 查理．范多倫（Charles Van Doren） / 郝明義 / 朱衣 ,出版信息：  台灣商務 / 2003-7-1 / 新台幣420元
49,Willpower,8.7,323,作者/译者： Roy F. Baumeister / John Tierney ,出版信息：  Penguin Press / 2011-9 / GBP 17.85
50,不会写，怎敢拼外企——TCS三级跳 解析商务英语写作经典案例,8.7,84,作者/译者： 戴愫 ,出版信息：  上海译文出版社 / 2014-1 / 35元
51,Mastery,8.7,193,作者/译者： George Leonard ,出版信息：  Plume / 1992-2-1 / USD 15.00
52,如何阅读一本书,8.6,19913,作者/译者： [美] 莫提默·J. 艾德勒 / 查尔斯·范多伦 / 郝明义 / 朱衣 ,出版信息：  商务印书馆 / 2004-1 / 38.00元
53,把时间当作朋友,8.6,19689,作者/译者： 李笑来 ,出版信息：  电子工业出版社 / 2009-6 / 32.00元
54,万万没想到,8.6,2119,作者/译者： 万维钢（同人于野） ,出版信息：  电子工业出版社 / 2014-10-1 / CNY 39.80
55,影响力,8.6,19722,作者/译者： [美] 罗伯特·西奥迪尼 / 陈叙 ,出版信息：  中国人民大学出版社 / 2006-5 / 45.00元
56,小狗钱钱,8.6,6372,作者/译者： [德] 博多·舍费尔 / 王钟欣 / 余茜 ,出版信息：  中国工人出版社 / 2002-2 / 15.80元
57,你的生命有什么可能,8.6,1270,作者/译者： 古典 ,出版信息：  湖南文艺出版社 / 2014-5-1 / 35
58,追寻生命的意义,8.6,1646,作者/译者： [奥] 维克多·弗兰克 / 何忠强 / 杨凤池 ,出版信息：  新华出版社 / 2003-1 / 12.00元
59,格鲁夫给经理人的第一课,8.6,390,作者/译者： [美] 安迪?格鲁夫 / 巫宗融 ,出版信息：  中信出版社 / 2007-1 / 28.00元
60,第2份工作,8.6,636,作者/译者： 京宝儿 ,出版信息：  人民文学出版社 / 2012-9 / 28.00元
61,改善情绪的正念疗法,8.6,304,作者/译者： 马克·威廉姆斯 / 约翰·蒂斯代尔 / 谭洁清 ,出版信息：  湛庐文化策划 中国人民大学出版社 / 2009-10 / 39.80元
62,把时间当作朋友,8.6,2514,作者/译者： 李笑来 ,出版信息：  电子工业出版社 / 2010-8 / 32.00元
63,改变，从心开始,8.6,1550,作者/译者： 罗伊?马丁纳 / 胡因梦 ,出版信息：  云南人民出版社 / 2009-8-1 / 32.00元
64,伯恩斯新情绪疗法,8.6,437,作者/译者： [美] 伯恩斯 / 李安龙 ,出版信息：  北方文艺出版社 / 2007-7 / 39.0
65,个人的管理,8.6,302,作者/译者： [美] 彼得?德鲁克(Peter F.Drucker) / 沈国华 ,出版信息：  上海财经大学出版社 / 2003-8-1 / 28.00元
66,思维改变生活,8.6,300,作者/译者： [澳]埃德尔曼 / 黄志强 / 殷明 ,出版信息：  华东师范大学出版社 / 2008-1 / 38.00元
67,家庭收纳1000例,8.6,1578,作者/译者： (日)主妇之友社 / [日]近藤典子 / 刘丹云 ,出版信息：  吉林科学技术出版社 / 2006-5-1 / 29.8
68,谈判是什么,8.6,764,作者/译者： (英)盖温.肯尼迪 / 陈述 ,出版信息：  中国宇航出版社 / 2004-10-1 / 29.00
69,富爸爸穷爸爸（最新修订版）,8.6,241,作者/译者： 罗伯特·清崎 / 莎伦·莱希特 ,出版信息：  四川文艺出版社 / 2014-1-1 / CNY 28.00
70,再活一次,8.6,476,作者/译者： 纳塔莉·戈德堡 / 韩良忆 ,出版信息：  南方出版社 / 2008年3月 / 24.00元
71,The Start-up of You,8.6,170,作者/译者： Reid Hoffman / Ben Casnocha ,出版信息：  Crown Business / 2012-2-14 / USD 26.00
72,本杰明·富兰克林自传,8.6,317,作者/译者： [美] 本杰明·富兰克林 / 李自修 ,出版信息：  人民文学出版社 / 2004-7 / 11.00元
73,How To Win Friends And Influence People,8.6,409,作者/译者： Dale Carnegie ,出版信息：  Simon & Schuster (New York) / 1982-9-1 / GBP 5.50
74,沟通,8.6,38,作者/译者： 杜瓦特 / 冯海洋 / 刘芳 ,出版信息：  电子工业出版社 / 2013-4 / 92.00元
75,思想者,8.6,139,作者/译者： 查尔斯?汉迪 / 闾佳 ,出版信息：  人大出版社 / 2006-11 / 36.00元
76,项目管理,8.6,69,作者/译者： (美)哈罗德·科兹纳著 / 杨爱华等译（北京航空航天大学） ,"出版信息：  
       / 2002-9 / 108.00元"
77,超越智商,8.5,144,作者/译者： 【美】基思 E. 斯坦诺维奇（Keith E. Stanovich） / 张斌 ,出版信息：  机械工业出版社 / 2015-9-15 / 59.00元
78,非暴力沟通,8.5,2679,作者/译者： [美] 马歇尔·卢森堡 / 阮胤华 ,出版信息：  华夏出版社 / 2009-1 / 29.00元
